decade,performer,chart_weeks,share_of_decade_weeks
1970s,Crystal Gayle,77,0.001475
1970s,Dolly Parton,77,0.001475
1970s,Rose Royce,77,0.001475
1970s,The Emotions,77,0.001475
1970s,Foghat,77,0.001475
1970s,Lou Rawls,76,0.001456
1970s,Van Morrison,76,0.001456
1970s,Village People,76,0.001456
1970s,The Moody Blues,76,0.001456
1970s,Shaun Cassidy,75,0.001437
1970s,Smokey Robinson & The Miracles,75,0.001437
1970s,Supertramp,75,0.001437
1970s,Bobby Sherman,74,0.001418
1970s,The Dells,73,0.001399
1970s,Lynyrd Skynyrd,71,0.00136
1970s,Albert Hammond,71,0.00136
1970s,"Hamilton, Joe Frank & Reynolds",71,0.00136
1970s,Gerry Rafferty,70,0.001341
1970s,Tower Of Power,70,0.001341
1970s,Gloria Gaynor,70,0.001341
1970s,Melanie,69,0.001322
1970s,Raspberries,69,0.001322
1970s,Boston,69,0.001322
1970s,Tommy James,69,0.001322
1970s,Eddie Money,68,0.001303
1970s,Todd Rundgren,68,0.001303
1970s,Dawn Featuring Tony Orlando,68,0.001303
1970s,Kris Kristofferson,68,0.001303
1970s,Judy Collins,68,0.001303
1970s,Bob Seger & The Silver Bullet Band,67,0.001284
1970s,Millie Jackson,67,0.001284
1970s,The Cars,67,0.001284
1970s,Jerry Reed,67,0.001284
1970s,Wet Willie,66,0.001265
1970s,Orleans,66,0.001265
1970s,Player,66,0.001265
1970s,Harry Chapin,66,0.001265
1970s,Creedence Clearwater Revival,66,0.001265
1970s,The Jacksons,66,0.001265
1970s,Ray Charles,65,0.001245
1970s,The Trammps,65,0.001245
1970s,Heatwave,64,0.001226
1970s,Brownsville Station,64,0.001226
1970s,The J. Geils Band,64,0.001226
1970s,Clarence Carter,64,0.001226
1970s,David Gates,64,0.001226
1970s,Freda Payne,63,0.001207
1970s,Bob Welch,63,0.001207
1970s,Chairman Of The Board,63,0.001207
1970s,Gary Wright,62,0.001188
1970s,The Kinks,62,0.001188
1970s,Stephen Bishop,61,0.001169
1970s,Bob Seger,61,0.001169
1970s,Simon & Garfunkel,61,0.001169
1970s,The 4 Seasons,61,0.001169
1970s,Poco,61,0.001169
1970s,Bloodstone,60,0.00115
1970s,Love Unlimited Orchestra,60,0.00115
1970s,The Beatles,59,0.00113
1970s,Steppenwolf,59,0.00113
1970s,Peaches & Herb,59,0.00113
1970s,B.T. Express,59,0.00113
1970s,The Impressions,59,0.00113
1970s,Jr. Walker & The All Stars,58,0.001111
1970s,Al Wilson,58,0.001111
1970s,Ike & Tina Turner,57,0.001092
1970s,Ray Price,57,0.001092
1970s,The Raiders,57,0.001092
1970s,Redbone,57,0.001092
1970s,Ozark Mountain Daredevils,56,0.001073
1970s,The Marshall Tucker Band,56,0.001073
1970s,Maureen McGovern,56,0.001073
1970s,Maxine Nightingale,56,0.001073
1970s,Ronnie Dyson,56,0.001073
1970s,Bobby Goldsboro,55,0.001054
1970s,Jethro Tull,55,0.001054
1970s,Badfinger,55,0.001054
1970s,The Miracles,55,0.001054
1970s,Robert John,55,0.001054
1970s,Cornelius Brothers & Sister Rose,54,0.001035
1970s,Dawn,54,0.001035
1970s,Dave Mason,54,0.001035
1970s,Steve Miller,54,0.001035
1970s,ZZ Top,54,0.001035
1970s,The Honey Cone,54,0.001035
1970s,Luther Ingram,53,0.001016
1970s,Gallery,53,0.001016
1970s,Andy Kim,53,0.001016
1970s,Detroit Emeralds,53,0.001016
1970s,Don McLean,53,0.001016
1970s,Al Stewart,53,0.001016
1970s,Jennifer Warnes,53,0.001016
1970s,Eddie Rabbitt,52,0.000996
1970s,"Blood, Sweat & Tears",52,0.000996
1970s,The Delfonics,52,0.000996
1970s,Dr. Hook And The Medicine Show,52,0.000996
1970s,Michael Murphey,52,0.000996
1970s,"Marilyn McCoo & Billy Davis, Jr.",52,0.000996
1970s,Tanya Tucker,52,0.000996
1970s,Cheech & Chong,52,0.000996
1970s,Dobie Gray,52,0.000996
1970s,The Brothers Johnson,51,0.000977
1970s,Thelma Houston,51,0.000977
1970s,Cheap Trick,51,0.000977
1970s,Neil Young,50,0.000958
1970s,Mark Lindsay,50,0.000958
1970s,Al Martino,50,0.000958
1970s,Kenny Loggins,50,0.000958
1970s,Kenny Rogers & The First Edition,50,0.000958
1970s,Mary Macgregor,50,0.000958
1970s,Journey,50,0.000958
1970s,AWB,50,0.000958
1970s,Andrew Gold,49,0.000939
1970s,Blondie,49,0.000939
1970s,Edwin Starr,49,0.000939
1970s,Ronnie Milsap,49,0.000939
1970s,Wild Cherry,48,0.00092
1970s,Starbuck,48,0.00092
1970s,Ambrosia,48,0.00092
1970s,Michael Johnson,48,0.00092
1970s,Lynn Anderson,48,0.00092
1970s,Dorothy Moore,48,0.00092
1970s,Johnny Nash,48,0.00092
1970s,Kenny Nolan,48,0.00092
1970s,The Allman Brothers Band,47,0.000901
1970s,Parliament,47,0.000901
1970s,Jermaine Jackson,47,0.000901
1970s,Gino Vannelli,47,0.000901
1970s,Joe Tex,47,0.000901
1970s,Andrea True Connection,47,0.000901
1970s,Tommy Roe,47,0.000901
1970s,The Three Degrees,47,0.000901
1970s,Joan Baez,47,0.000901
1970s,Meat Loaf,46,0.000881
1970s,Edgar Winter Group,46,0.000881
1970s,Bobby Womack,46,0.000881
1970s,Crown Heights Affair,46,0.000881
1970s,Five Man Electrical Band,46,0.000881
1970s,The Blackbyrds,46,0.000881
1970s,The Hues Corporation,46,0.000881
1970s,Paul Anka with Odia Coates,46,0.000881
1970s,Rufus Thomas,45,0.000862
1970s,Manfred Mann's Earth Band,45,0.000862
1970s,The Band,45,0.000862
1970s,The Intruders,45,0.000862
1970s,Loggins & Messina,45,0.000862
1970s,Wayne Newton,45,0.000862
1970s,Nick Gilder,45,0.000862
1970s,Betty Wright,45,0.000862
1970s,Denise LaSalle,44,0.000843
1970s,Stephen Stills,44,0.000843
1970s,Silver Convention,44,0.000843
1970s,Cliff Richard,44,0.000843
1970s,The Babys,44,0.000843
1970s,Addrisi Brothers,43,0.000824
1970s,Raydio,43,0.000824
1970s,Sonny & Cher,43,0.000824
1970s,King Floyd,43,0.000824
1970s,The Originals,43,0.000824
1970s,Perry Como,43,0.000824
1970s,Leon Russell,43,0.000824
1970s,Nitty Gritty Dirt Band,43,0.000824
1970s,Jigsaw,43,0.000824
1970s,The New Birth,43,0.000824
1970s,Gene Cotton,43,0.000824
1970s,Brick,43,0.000824
1970s,Billy Paul,42,0.000805
1970s,John Travolta,42,0.000805
1970s,The Ritchie Family,42,0.000805
1970s,Toto,42,0.000805
1970s,Sister Sledge,42,0.000805
1970s,Sam Neely,42,0.000805
1970s,Robert Palmer,42,0.000805
1970s,Lighthouse,41,0.000786
1970s,"Evelyn ""Champagne"" King",41,0.000786
1970s,Yes,41,0.000786
1970s,Rick James,41,0.000786
1970s,Andy Williams,41,0.000786
1970s,The Undisputed Truth,41,0.000786
1970s,First Choice,41,0.000786
1970s,Love Unlimited,41,0.000786
1970s,Charley Pride,41,0.000786
1970s,Vicki Sue Robinson,41,0.000786
1970s,Bobby Womack & Peace,40,0.000766
1970s,"Crosby, Stills, Nash & Young",40,0.000766
1970s,The Doors,40,0.000766
1970s,The Charlie Daniels Band,40,0.000766
1970s,Austin Roberts,40,0.000766
1970s,Tom T. Hall,40,0.000766
1970s,Dan Hill,40,0.000766
1970s,Bo Donaldson And The Heywoods,40,0.000766
1970s,Rhythm Heritage,40,0.000766
1970s,Meco,40,0.000766
1970s,Beverly Bremers,40,0.000766
1970s,Stealers Wheel,40,0.000766
1970s,Jerry Butler,39,0.000747
1970s,The Salsoul Orchestra,39,0.000747
1970s,The Persuaders,39,0.000747
1970s,Exile,39,0.000747
1970s,John Paul Young,39,0.000747
1970s,Bonnie Pointer,39,0.000747
1970s,David Soul,38,0.000728
1970s,The Knack,38,0.000728
1970s,LeBlanc & Carr,38,0.000728
1970s,Stories,38,0.000728
1970s,L.T.D.,38,0.000728
1970s,David Cassidy,38,0.000728
1970s,C.W. McCall,38,0.000728
1970s,George McCrae,38,0.000728
1970s,Frank Mills,38,0.000728
1970s,Dr. John,38,0.000728
1970s,Frank Sinatra,38,0.000728
1970s,Maria Muldaur,38,0.000728
1970s,Hot,37,0.000709
1970s,Diana Ross & Marvin Gaye,37,0.000709
1970s,Debby Boone,37,0.000709
1970s,Charles Wright And The Watts 103rd Street Rhythm Band,37,0.000709
1970s,Joe Walsh,37,0.000709
1970s,Brenda & The Tabulations,37,0.000709
1970s,Blue Swede,37,0.000709
1970s,Art Garfunkel,37,0.000709
1970s,Peter Brown With Betty Wright,36,0.00069
1970s,David Ruffin,36,0.00069
1970s,"Emerson, Lake & Palmer",36,0.00069
1970s,Foxy,36,0.00069
1970s,Henry Gross,36,0.00069
1970s,The New Seekers,36,0.00069
1970s,Bellamy Brothers,36,0.00069
1970s,Ann Peebles,36,0.00069
1970s,Funkadelic,36,0.00069
1970s,Blue Magic,36,0.00069
1970s,The Crusaders,36,0.00069
1970s,Laura Lee,36,0.00069
1970s,Samantha Sang,36,0.00069
1970s,B.W. Stevenson,36,0.00069
1970s,J.J. Cale,36,0.00069
1970s,The Hudson Brothers,36,0.00069
1970s,Chuck Mangione,35,0.000671
1970s,The Alan Parsons Project,35,0.000671
1970s,Walter Egan,35,0.000671
1970s,Jay Ferguson,35,0.000671
1970s,Lamont Dozier,35,0.000671
1970s,Sylvester,35,0.000671
1970s,Burton Cummings,35,0.000671
1970s,Johnny Bristol,35,0.000671
1970s,Dickie Goodman,35,0.000671
1970s,Nigel Olsson,34,0.000651
1970s,John Lennon,34,0.000651
1970s,The Righteous Brothers,34,0.000651
1970s,John Stewart,34,0.000651
1970s,Van Halen,34,0.000651
1970s,Tom Petty And The Heartbreakers,34,0.000651
1970s,Waylon Jennings,34,0.000651
1970s,Morris Albert,34,0.000651
1970s,Conway Twitty,34,0.000651
1970s,Enchantment,34,0.000651
1970s,Amazing Rhythm Aces,34,0.000651
1970s,Quincy Jones,34,0.000651
1970s,Edward Bear,34,0.000651
1970s,The Whispers,33,0.000632
1970s,Alicia Bridges,33,0.000632
1970s,Teddy Pendergrass,33,0.000632
1970s,Sammy Johns,33,0.000632
1970s,Herbie Mann,33,0.000632
1970s,Jerry Lee Lewis,33,0.000632
1970s,The Lettermen,33,0.000632
1970s,Dennis Coffey & The Detroit Guitar Band,33,0.000632
1970s,The Flaming Ember,32,0.000613
1970s,Deep Purple,32,0.000613
1970s,The Jimmy Castor Bunch,32,0.000613
1970s,New York City,32,0.000613
1970s,The Moments,32,0.000613
1970s,Dennis Yost And The Classics IV,32,0.000613
1970s,Barbara Mason,32,0.000613
1970s,"Billy ""Crash"" Craddock",32,0.000613
1970s,Elvin Bishop,32,0.000613
1970s,The Sweet,32,0.000613
1970s,Willie Nelson,32,0.000613
1970s,Roberta Flack & Donny Hathaway,31,0.000594
1970s,Leon Haywood,31,0.000594
1970s,Fanny,31,0.000594
1970s,Moments,31,0.000594
1970s,Vanity Fare,31,0.000594
1970s,Gene Chandler,31,0.000594
1970s,Ted Nugent,31,0.000594
1970s,Rick Dees & His Cast Of Idiots,31,0.000594
1970s,Pilot,31,0.000594
1970s,Alan O'Day,31,0.000594
1970s,Bruce Springsteen,31,0.000594
1970s,Jackie DeShannon,31,0.000594
1970s,Looking Glass,31,0.000594
1970s,Starz,31,0.000594
1970s,Garfunkel,31,0.000594
1970s,Murray Head With The Trinidad Singers,31,0.000594
1970s,Bobby Bloom,30,0.000575
1970s,Marie Osmond,30,0.000575
1970s,George Baker Selection,30,0.000575
1970s,Herb Alpert,30,0.000575
1970s,The Poppy Family (Featuring Susan Jacks),30,0.000575
1970s,Mel And Tim,30,0.000575
1970s,The Bar-Kays,30,0.000575
1970s,Chuck Berry,30,0.000575
1970s,Switch,30,0.000575
1970s,"Crosby, Stills & Nash",30,0.000575
1970s,David Essex,30,0.000575
1970s,Vicki Lawrence,30,0.000575
1970s,The DeFranco Family featuring Tony DeFranco,30,0.000575
1970s,C.J. & Company,29,0.000556
1970s,Johnny Cash,29,0.000556
1970s,Merry Clayton,29,0.000556
1970s,The Independents,29,0.000556
1970s,Paper Lace,29,0.000556
1970s,Bobbie Gentry,29,0.000556
1970s,Eric Burdon And War,29,0.000556
1970s,Starland Vocal Band,29,0.000556
1970s,Shirley Bassey,29,0.000556
1970s,Suzi Quatro,29,0.000556
1970s,El Coco,29,0.000556
1970s,Stampeders,29,0.000556
1970s,"Faith, Hope And Charity",28,0.000537
1970s,Nicolette Larson,28,0.000537
1970s,Walter Murphy & The Big Apple Band,28,0.000537
1970s,Janis Joplin,28,0.000537
1970s,Sugarloaf,28,0.000537
1970s,Daniel Boone,28,0.000537
1970s,Paul Nicholas,28,0.000537
1970s,Cheryl Lynn,28,0.000537
1970s,Brian Hyland,28,0.000537
1970s,Brass Construction,28,0.000537
1970s,CROW,28,0.000537
1970s,The Blue Ridge Rangers,28,0.000537
1970s,Donnie Elbert,28,0.000537
1970s,Donny Hathaway,28,0.000537
1970s,The 8th Day,28,0.000537
1970s,Rick Springfield,28,0.000537
1970s,High Inergy,27,0.000517
1970s,Fancy,27,0.000517
1970s,Billy Swan,27,0.000517
1970s,William DeVaughn,27,0.000517
1970s,Terry Jacks,27,0.000517
1970s,John Miles,27,0.000517
1970s,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,27,0.000517
1970s,Talking Heads,27,0.000517
1970s,Jackie Moore,27,0.000517
1970s,Sugarloaf/Jerry Corbetta,27,0.000517
1970s,Ian Matthews,27,0.000517
1970s,Ocean,27,0.000517
1970s,Jessi Colter,27,0.000517
1970s,Delaney & Bonnie & Friends,27,0.000517
1970s,Norman Greenbaum,27,0.000517
1970s,The Fortunes,27,0.000517
1970s,A Taste Of Honey,27,0.000517
1970s,Derek & The Dominos,27,0.000517
1970s,R. Dean Taylor,27,0.000517
1970s,100 Proof Aged in Soul,27,0.000517
1970s,Shalamar,27,0.000517
