decade,performer,chart_weeks,share_of_decade_weeks
1980s,Robin Gibb,12,0.00023
1980s,Kurtis Blow,12,0.00023
1980s,Kenny Loggins with Steve Perry,12,0.00023
1980s,Del Shannon,12,0.00023
1980s,Nona Hendryx,12,0.00023
1980s,Deja,12,0.00023
1980s,Felony,12,0.00023
1980s,Rockpile,12,0.00023
1980s,Larry Elgart And His Manhattan Swing Orchestra,12,0.00023
1980s,Supertramp Featuring Rick Davies,12,0.00023
1980s,Boy George,12,0.00023
1980s,Bill Medley,12,0.00023
1980s,Quincy Jones,12,0.00023
1980s,Technotronic Featuring Felly,12,0.00023
1980s,Leon Haywood,11,0.000211
1980s,Split Enz,11,0.000211
1980s,Menudo,11,0.000211
1980s,Doctor And The Medics,11,0.000211
1980s,Lonzo And World Class Wreckin Kru,11,0.000211
1980s,Merry Clayton,11,0.000211
1980s,So,11,0.000211
1980s,Linda Clifford,11,0.000211
1980s,Lil Louis,11,0.000211
1980s,Louis Armstrong,11,0.000211
1980s,Maze Featuring Frankie Beverly,11,0.000211
1980s,Scritti Politti Featuring Roger,11,0.000211
1980s,Skyy,11,0.000211
1980s,Burton Cummings,11,0.000211
1980s,Afrika Bambaataa & The Soul Sonic Force,11,0.000211
1980s,Simon & Garfunkel,11,0.000211
1980s,Magazine 60,11,0.000211
1980s,Gina Go-Go,11,0.000211
1980s,After 7,11,0.000211
1980s,Yello,11,0.000211
1980s,Gamma,11,0.000211
1980s,Marshall Crenshaw,11,0.000211
1980s,Charlene & Stevie Wonder,11,0.000211
1980s,Charlie,11,0.000211
1980s,Cheech & Chong,11,0.000211
1980s,King,11,0.000211
1980s,Led Zeppelin,11,0.000211
1980s,Rodney Crowell,11,0.000211
1980s,Bonnie Pointer,11,0.000211
1980s,The Art Of Noise Featuring Duane Eddy,11,0.000211
1980s,"Evelyn ""Champagne"" King",11,0.000211
1980s,The Barbusters (Joan Jett And The Blackhearts),11,0.000211
1980s,The Art Of Noise Featuring Tom Jones,11,0.000211
1980s,Felix Cavaliere,11,0.000211
1980s,Ringo Starr,11,0.000211
1980s,Nicolette Larson & Michael McDonald,11,0.000211
1980s,Rick James And Smokey Robinson,11,0.000211
1980s,Billy Rankin,11,0.000211
1980s,Tane Cain,11,0.000211
1980s,Josie Cotton,11,0.000211
1980s,Billy Satellite,11,0.000211
1980s,Rickie Lee Jones,11,0.000211
1980s,Keith Sweat (Duet With Jacci McGhee),11,0.000211
1980s,Bow Wow Wow,11,0.000211
1980s,Jermaine Jackson & Pia Zadora,11,0.000211
1980s,Isaac Hayes,11,0.000211
1980s,David Hudson,11,0.000211
1980s,The Fools,11,0.000211
1980s,Belouis Some,11,0.000211
1980s,Foghat,11,0.000211
1980s,Randy VanWarmer,11,0.000211
1980s,Inner City,11,0.000211
1980s,Prince With Sheena Easton,11,0.000211
1980s,Aretha Franklin & Elton John,11,0.000211
1980s,Peabo Bryson & Roberta Flack,11,0.000211
1980s,The Silencers,11,0.000211
1980s,The Weather Girls,11,0.000211
1980s,Touch,11,0.000211
1980s,Uptown,11,0.000211
1980s,Dan Reed Network,11,0.000211
1980s,Phyllis Nelson,11,0.000211
1980s,Y&T,10,0.000192
1980s,John Eddie,10,0.000192
1980s,George Burns,10,0.000192
1980s,Coyote Sisters,10,0.000192
1980s,Greg Lake,10,0.000192
1980s,Taja Sevelle,10,0.000192
1980s,Glen Campbell & Rita Coolidge,10,0.000192
1980s,Tony Toni Tone,10,0.000192
1980s,Modern English,10,0.000192
1980s,B.E. Taylor Group,10,0.000192
1980s,The Animals,10,0.000192
1980s,"Richard ""Dimples"" Fields",10,0.000192
1980s,One Way,10,0.000192
1980s,Eria Fachin,10,0.000192
1980s,Jimmy Barnes,10,0.000192
1980s,Rick Springfield With Randy Crawford,10,0.000192
1980s,Red Rockers,10,0.000192
1980s,David Lasley,10,0.000192
1980s,Ralph MacDonald With Bill Withers,10,0.000192
1980s,Rock And Hyde,10,0.000192
1980s,Newcity Rockers,10,0.000192
1980s,Aretha Franklin And George Benson,10,0.000192
1980s,Henry Paul Band,10,0.000192
1980s,James Ingram,10,0.000192
1980s,The Invisible Man's Band,10,0.000192
1980s,Barry Gibb,10,0.000192
1980s,Livingston Taylor,10,0.000192
1980s,The Replacements,10,0.000192
1980s,Frozen Ghost,10,0.000192
1980s,The Pasadenas,10,0.000192
1980s,Steve Carlisle,10,0.000192
1980s,Jocelyn Brown,10,0.000192
1980s,Big Pig,10,0.000192
1980s,Freddie Mercury,10,0.000192
1980s,Jive Bunny & The Mastermixers,10,0.000192
1980s,Sam Brown,10,0.000192
1980s,McGuffey Lane,10,0.000192
1980s,Loose Ends,10,0.000192
1980s,Barbra Streisand With Kim Carnes,10,0.000192
1980s,Lisa Lisa And Cult Jam Featuring Full Force,10,0.000192
1980s,E.G. Daily,10,0.000192
1980s,Stars On,10,0.000192
1980s,Jeff Beck & Rod Stewart,10,0.000192
1980s,Giant,10,0.000192
1980s,Yoko Ono,10,0.000192
1980s,Wendy And Lisa,10,0.000192
1980s,Walter Egan,10,0.000192
1980s,Spyro Gyra,10,0.000192
1980s,Little Richard,10,0.000192
1980s,The Gregg Allman Band,10,0.000192
1980s,Soulsister,10,0.000192
1980s,Marcy Levy & Robin Gibb,10,0.000192
1980s,Ozzy Osbourne,9,0.000172
1980s,Cherelle,9,0.000172
1980s,Nicolette Larson,9,0.000172
1980s,Waylon & Willie,9,0.000172
1980s,Planet P,9,0.000172
1980s,Wall Of Voodoo,9,0.000172
1980s,War,9,0.000172
1980s,Wham! U.K.,9,0.000172
1980s,Walter Murphy,9,0.000172
1980s,Carol Lynn Townes,9,0.000172
1980s,Kevin Raleigh,9,0.000172
1980s,Klique,9,0.000172
1980s,Stacy Lattisaw & Johnny Gill,9,0.000172
1980s,Kim Mitchell,9,0.000172
1980s,Band-Aid,9,0.000172
1980s,The Chicago Bears Shufflin' Crew,9,0.000172
1980s,Rufus And Chaka Khan,9,0.000172
1980s,Bill Conti,9,0.000172
1980s,Elvis Costello & The Atrractions,9,0.000172
1980s,Herbie Hancock,9,0.000172
1980s,Robbin Thompson Band,9,0.000172
1980s,Nick Lowe And His Cowboy Outfit,9,0.000172
1980s,The Truth,9,0.000172
1980s,Lou Rawls,9,0.000172
1980s,Indigo Girls,9,0.000172
1980s,Melissa Manchester & Peabo Bryson,9,0.000172
1980s,Sheila,9,0.000172
1980s,Holly Knight,9,0.000172
1980s,The Graces,9,0.000172
1980s,The Dillman Band,9,0.000172
1980s,Art Garfunkel,9,0.000172
1980s,Little Steven,9,0.000172
1980s,Jerry Reed,9,0.000172
1980s,The Headpins,9,0.000172
1980s,Sir Mix-A-Lot,9,0.000172
1980s,O'Bryan,9,0.000172
1980s,Yellow Magic Orchestra,9,0.000172
1980s,Wolf,9,0.000172
1980s,Get Wet,9,0.000172
1980s,Bob Dylan,9,0.000172
1980s,John Stewart,9,0.000172
1980s,Blue Zone U.K.,9,0.000172
1980s,George Duke,9,0.000172
1980s,Robert Hazard,9,0.000172
1980s,F.R. David,9,0.000172
1980s,Grace Jones,9,0.000172
1980s,Tom Petty & The Heartbreakers With Stevie Nicks,9,0.000172
1980s,Ronnie Laws,9,0.000172
1980s,Rossington Collins Band,9,0.000172
1980s,Peter Frampton,8,0.000153
1980s,Wet Wet Wet,8,0.000153
1980s,Peter Allen,8,0.000153
1980s,Jean Beauvoir,8,0.000153
1980s,Lakeside,8,0.000153
1980s,Jesse Johnson,8,0.000153
1980s,Voices Of America,8,0.000153
1980s,Vesta,8,0.000153
1980s,Badfinger,8,0.000153
1980s,"Emerson, Lake & Powell",8,0.000153
1980s,David Foster And Olivia Newton-John,8,0.000153
1980s,Limited Warranty,8,0.000153
1980s,Larry Carlton,8,0.000153
1980s,Dann Rogers,8,0.000153
1980s,Paul Shaffer,8,0.000153
1980s,Russ Ballard,8,0.000153
1980s,Industry,8,0.000153
1980s,The Joe Chemay Band,8,0.000153
1980s,Marc Almond,8,0.000153
1980s,The Monroes,8,0.000153
1980s,Festival,8,0.000153
1980s,Korona,8,0.000153
1980s,LaToya Jackson,8,0.000153
1980s,Lenore O'malley,8,0.000153
1980s,The Kingbees,8,0.000153
1980s,Gordon Lightfoot,8,0.000153
1980s,Orion The Hunter,8,0.000153
1980s,Randy Newman & Paul Simon,8,0.000153
1980s,Dave Stewart and Barbara Gaskin,8,0.000153
1980s,Axe,8,0.000153
1980s,Johnny Mathis,8,0.000153
1980s,Kenny Nolan,8,0.000153
1980s,Eight Seconds,8,0.000153
1980s,Toronto,8,0.000153
1980s,Glen Campbell,8,0.000153
1980s,Unipop,8,0.000153
1980s,Amii Stewart & Johnny Bristol,8,0.000153
1980s,Twilight 22,8,0.000153
1980s,Mike Pinera,8,0.000153
1980s,Tom Kimmel,8,0.000153
1980s,Andy Gibb & Victoria Principal,8,0.000153
1980s,Average White Band,8,0.000153
1980s,Adrian Belew,8,0.000153
1980s,Zebra,8,0.000153
1980s,Gerry Rafferty,8,0.000153
1980s,George Thorogood & The Destroyers,8,0.000153
1980s,Glen Burtnick,8,0.000153
1980s,"Crosby, Stills, Nash & Young",8,0.000153
1980s,Gene Cotton,8,0.000153
1980s,T.S. Monk,8,0.000153
1980s,The Temptations Featuring Rick James,8,0.000153
1980s,Michelle Shocked,8,0.000153
1980s,Aretha Franklin/Whitney Houston,8,0.000153
1980s,Rodney Dangerfield,8,0.000153
1980s,Roy Orbison & Emmylou Harris,8,0.000153
1980s,The Smithereens,8,0.000153
1980s,Marillion,8,0.000153
1980s,Martha Davis,8,0.000153
1980s,The Boys Band,8,0.000153
1980s,Pat Travers Band,7,0.000134
1980s,Toni Childs,7,0.000134
1980s,Tangier,7,0.000134
1980s,Romeo's Daughter,7,0.000134
1980s,Michel'le,7,0.000134
1980s,Cellarful Of Noise,7,0.000134
1980s,Choirboys,7,0.000134
1980s,Hawks,7,0.000134
1980s,Guy,7,0.000134
1980s,Dayton,7,0.000134
1980s,Deep Purple,7,0.000134
1980s,Graham Nash,7,0.000134
1980s,Goanna,7,0.000134
1980s,U2 With B.B. King,7,0.000134
1980s,Quincy Jones Featuring Ray Charles & Chaka Khan,7,0.000134
1980s,Grandmaster Flash,7,0.000134
1980s,Off Broadway USA,7,0.000134
1980s,Nocera,7,0.000134
1980s,Judas Priest,7,0.000134
1980s,More Stars On 45,7,0.000134
1980s,Turley Richards,7,0.000134
1980s,Pendulum,7,0.000134
1980s,Glass Moon,7,0.000134
1980s,Q-feel,7,0.000134
1980s,Powersource (Solo...Sharon),7,0.000134
1980s,Christopher Atkins,7,0.000134
1980s,Enuff Z'Nuff,7,0.000134
1980s,Streek,7,0.000134
1980s,Aurra,7,0.000134
1980s,Billy Joel featuring Ray Charles,7,0.000134
1980s,Big Trouble,7,0.000134
1980s,Roxanne,7,0.000134
1980s,Rough Trade,7,0.000134
1980s,Jules Shear,7,0.000134
1980s,KC And The Sunshine Band,7,0.000134
1980s,The Johnny Average Band Featuring Nikki Wills,7,0.000134
1980s,Fiona,7,0.000134
1980s,Figures On A Beach,7,0.000134
1980s,M + M,7,0.000134
1980s,Sherbs,7,0.000134
1980s,Mai Tai,7,0.000134
1980s,Candi,7,0.000134
1980s,Dionne & Kashif,7,0.000134
1980s,Melissa Etheridge,7,0.000134
1980s,Mel & Kim,7,0.000134
1980s,Divinyls,7,0.000134
1980s,Arlan Day,7,0.000134
1980s,Hotel,7,0.000134
1980s,House Of Lords,7,0.000134
1980s,Humble Pie,7,0.000134
1980s,Ice-T,7,0.000134
1980s,Hot Chocolate,7,0.000134
1980s,The Doors,7,0.000134
1980s,The Doolittle Band,7,0.000134
1980s,Love And Money,7,0.000134
1980s,Band Of Gold,7,0.000134
1980s,Jenny Burton & Patrick Jude,7,0.000134
1980s,Sparks,7,0.000134
1980s,Zapp,7,0.000134
1980s,Warren Zevon,7,0.000134
1980s,Garland Jeffreys,7,0.000134
1980s,Lenny LeBlanc,7,0.000134
1980s,West Street Mob,7,0.000134
1980s,David Gilmour,7,0.000134
1980s,Placido Domingo & John Denver,7,0.000134
1980s,Peter McIan,7,0.000134
1980s,Vitamin Z,7,0.000134
1980s,Petula Clark,6,0.000115
1980s,Peter Gabriel/Kate Bush,6,0.000115
1980s,Pleasure,6,0.000115
1980s,Wild Blue,6,0.000115
1980s,What Is This,6,0.000115
1980s,Alex Brown,6,0.000115
1980s,Fortune,6,0.000115
1980s,Leon Redbone,6,0.000115
1980s,Eddie Money (with Valerie Carter),6,0.000115
1980s,Jenny Burton,6,0.000115
1980s,Jellybean Featuring Steven Dante,6,0.000115
1980s,Carl Wilson,6,0.000115
1980s,Loz Netto,6,0.000115
1980s,J.D. Drews,6,0.000115
1980s,The Family,6,0.000115
1980s,Beau Coup,6,0.000115
1980s,The Cretones,6,0.000115
1980s,Starland Vocal Band,6,0.000115
1980s,Dynasty,6,0.000115
1980s,Bonham,6,0.000115
1980s,The Inmates,6,0.000115
1980s,Fiona (Duet With Kip Winger),6,0.000115
1980s,Lobo,6,0.000115
1980s,Shirley Lewis,6,0.000115
1980s,Shakin' Stevens,6,0.000115
1980s,Max Werner,6,0.000115
1980s,S-Express,6,0.000115
1980s,Ironhorse,6,0.000115
1980s,Cee Farrow,6,0.000115
1980s,Frankie Miller,6,0.000115
1980s,Holly Johnson,6,0.000115
1980s,The Star Wars Intergalactic Droid Choir & Chorale,6,0.000115
1980s,The Producers,6,0.000115
1980s,Stevie Wonder & Michael Jackson,6,0.000115
1980s,Steve Arrington,6,0.000115
1980s,Joan Armatrading,6,0.000115
1980s,Jimmy Davis & Junction,6,0.000115
1980s,Rockets,6,0.000115
1980s,Dennis Edwards,6,0.000115
1980s,Michael Gore,6,0.000115
1980s,Central Line,6,0.000115
1980s,Apollonia 6,6,0.000115
1980s,The Waitresses,6,0.000115
1980s,The Vels,6,0.000115
1980s,Neil Young,6,0.000115
1980s,Misiing Persons,6,0.000115
1980s,Millions Like Us,6,0.000115
1980s,Switch,6,0.000115
1980s,Kingdom Come,6,0.000115
1980s,Fairground Attraction,6,0.000115
1980s,John Cafferty,6,0.000115
1980s,Joe Sun,6,0.000115
1980s,Joyce Cobb,6,0.000115
1980s,Eurogliders,6,0.000115
1980s,Oak,6,0.000115
1980s,Narada Michael Walden,6,0.000115
1980s,Mondo Rock,6,0.000115
1980s,David Hallyday,6,0.000115
1980s,Tyrone Davis,6,0.000115
1980s,Total Coelo,6,0.000115
1980s,Tora Tora,6,0.000115
1980s,D Train,6,0.000115
1980s,Glenn Shorrock,6,0.000115
1980s,T.G. Sheppard With Clint Eastwood,6,0.000115
1980s,England Dan Seals,6,0.000115
1980s,Feargal Sharkey,6,0.000115
1980s,Texas,6,0.000115
1980s,Teddy Riley Featuring Guy,6,0.000115
1980s,Bob Geldof,6,0.000115
1980s,Blue Mercedes,6,0.000115
1980s,4 By Four,6,0.000115
1980s,XTC,6,0.000115
1980s,Yipes!!,5,9.6e-05
1980s,Al Corley,5,9.6e-05
1980s,Evelyn Thomas,5,9.6e-05
1980s,The 4 Seasons,5,9.6e-05
1980s,The Association,5,9.6e-05
1980s,The American Comedy Network,5,9.6e-05
1980s,The Boomtown Rats,5,9.6e-05
1980s,Julio Iglesias Featuring Stevie Wonder,5,9.6e-05
1980s,Kano,5,9.6e-05
1980s,Eric Hine,5,9.6e-05
1980s,Streets,5,9.6e-05
1980s,Janey Street,5,9.6e-05
1980s,J. Blackfoot,5,9.6e-05
1980s,The Flying Lizards,5,9.6e-05
1980s,Luis Cardenas,5,9.6e-05
1980s,Bus Boys,5,9.6e-05
1980s,Dottie West,5,9.6e-05
1980s,Shot In The Dark,5,9.6e-05
1980s,Bros,5,9.6e-05
1980s,Kissing The Pink,5,9.6e-05
1980s,Fire Inc.,5,9.6e-05
1980s,Southside Johnny & The Jukes,5,9.6e-05
1980s,Bobby Womack & Patti LaBelle,5,9.6e-05
1980s,Engelbert Humperdinck,5,9.6e-05
1980s,Burt Reynolds,5,9.6e-05
1980s,Lorenzo Lamas,5,9.6e-05
1980s,Spys,5,9.6e-05
1980s,Billy Burnette,5,9.6e-05
1980s,Kiara (Duet With Shanice Wilson),5,9.6e-05
1980s,Rubber Rodeo,5,9.6e-05
1980s,Midge Ure,5,9.6e-05
1980s,Deodato,5,9.6e-05
1980s,Deliverance,5,9.6e-05
1980s,The Rings,5,9.6e-05
1980s,Rufus With Chaka Khan,5,9.6e-05
1980s,Maureen Steele,5,9.6e-05
1980s,The Motors,5,9.6e-05
1980s,Hughes/Thrall,5,9.6e-05
1980s,Madleen Kane,5,9.6e-05
1980s,Secret Ties,5,9.6e-05
1980s,Savoy Brown,5,9.6e-05
1980s,Dion,5,9.6e-05
1980s,Todd Rundgren,5,9.6e-05
1980s,Together? (Soundtrack) Featuring Jackie DeShannon,5,9.6e-05
1980s,Tom Johnston,5,9.6e-05
1980s,Good Question,5,9.6e-05
1980s,Neil Young / Crazy Horse,5,9.6e-05
1980s,Rick Dees,5,9.6e-05
1980s,Debra Laws,5,9.6e-05
1980s,Tony Joe White,5,9.6e-05
1980s,Clocks,5,9.6e-05
1980s,Ultravox,5,9.6e-05
1980s,UTFO,5,9.6e-05
1980s,Chunky A,5,9.6e-05
1980s,Chubby Checker,5,9.6e-05
1980s,High Inergy,5,9.6e-05
1980s,Haysi Fantayzee,5,9.6e-05
1980s,Heaven 17,5,9.6e-05
1980s,Rodway,5,9.6e-05
1980s,Fred Parris & The Five Satins,5,9.6e-05
1980s,The Venetians,5,9.6e-05
1980s,Platinum Blonde,5,9.6e-05
1980s,Christopher Max,5,9.6e-05
1980s,Andy Fraser,5,9.6e-05
1980s,Urgent,5,9.6e-05
1980s,Dana Valery,5,9.6e-05
1980s,Gary O',5,9.6e-05
1980s,Gary Burbank With Band McNally,5,9.6e-05
1980s,Conductor,5,9.6e-05
1980s,Club House,5,9.6e-05
1980s,Peter Brown,5,9.6e-05
1980s,All Sports Band,5,9.6e-05
1980s,Ozark Mountain Daredevils,5,9.6e-05
1980s,Rachel Sweet,5,9.6e-05
1980s,Liquid Gold,4,7.7e-05
1980s,Marcia Griffiths,4,7.7e-05
1980s,Jackie English,4,7.7e-05
1980s,Easterhouse,4,7.7e-05
1980s,Single Bullet Theory,4,7.7e-05
1980s,J.D. Souther,4,7.7e-05
1980s,Jay Black,4,7.7e-05
1980s,Sinitta,4,7.7e-05
1980s,Bobby Vinton,4,7.7e-05
1980s,Laban,4,7.7e-05
1980s,The Del Fuegos,4,7.7e-05
1980s,Jennifer Warnes/Chris Thompson,4,7.7e-05
1980s,The California Raisins,4,7.7e-05
1980s,K.T.P.,4,7.7e-05
1980s,KBC Band,4,7.7e-05
1980s,Dragon,4,7.7e-05
1980s,Breathless,4,7.7e-05
1980s,Janis Ian,4,7.7e-05
1980s,Roxy Music,4,7.7e-05
1980s,Jim Hurt,4,7.7e-05
1980s,John Lennon & The Plastic Ono Band,4,7.7e-05
1980s,Giorgio Moroder (Featuring Paul Engeman),4,7.7e-05
1980s,Kenny Rogers & Dolly Parton,4,7.7e-05
1980s,England Dan & John Ford Coley,4,7.7e-05
1980s,Book Of Love,4,7.7e-05
1980s,Far Corporation,4,7.7e-05
1980s,Ted Nugent,4,7.7e-05
1980s,Julian Cope,4,7.7e-05
1980s,John Denver & Sylvie Vartan,4,7.7e-05
1980s,Tami Show,4,7.7e-05
1980s,Alessi,4,7.7e-05
1980s,Yazz And The Plastic Population,4,7.7e-05
1980s,Gary Portnoy,4,7.7e-05
1980s,Gentle Persuasion,4,7.7e-05
1980s,Peter Tosh,4,7.7e-05
1980s,Amazulu,4,7.7e-05
1980s,Paul Hyde & Payolas,4,7.7e-05
1980s,Twennynine Featuring Lenny White,4,7.7e-05
1980s,One To One,4,7.7e-05
1980s,Toby Beau,4,7.7e-05
1980s,Rockie Robbins,4,7.7e-05
1980s,The Stompers,4,7.7e-05
1980s,Curtie & The Boom Box,4,7.7e-05
1980s,Allan Clarke,4,7.7e-05
1980s,Diving For Pearls,4,7.7e-05
1980s,Charles Fox,4,7.7e-05
1980s,"Grover Washington, Jr.",4,7.7e-05
1980s,Robert Gordon,4,7.7e-05
1980s,Debbie Jacobs,4,7.7e-05
1980s,The Tourists,4,7.7e-05
1980s,Mink De Ville,4,7.7e-05
1980s,Frankie Valli & Chris Forde,4,7.7e-05
1980s,Mitch Ryder,4,7.7e-05
1980s,Mary Macgregor,4,7.7e-05
1980s,Dollar,4,7.7e-05
1980s,The Tarney/Spencer Band,4,7.7e-05
1980s,Ron And The D.C. Crew,4,7.7e-05
1980s,Freddy Cannon & The Belmonts,4,7.7e-05
1980s,Sad Cafe,4,7.7e-05
1980s,Mica Paris,4,7.7e-05
1980s,Barbra Streisand/Donna Summer,4,7.7e-05
1980s,Isle Of Man,4,7.7e-05
1980s,Randy Bell,3,5.7e-05
1980s,Peabo Bryson & Regina Belle,3,5.7e-05
1980s,The Adventures,3,5.7e-05
1980s,Gidea Park featuring Adrian Baker,3,5.7e-05
1980s,Agnetha Faltskog/Peter Cetera,3,5.7e-05
1980s,Gardner Cole,3,5.7e-05
1980s,Joel Diamond,3,5.7e-05
1980s,"Willis ""The Guard"" & Vigorish",3,5.7e-05
1980s,Joe Fagin,3,5.7e-05
1980s,Jon Butcher Axis,3,5.7e-05
1980s,Jim Kirk And The Tm Singers,3,5.7e-05
1980s,Silverado,3,5.7e-05
1980s,Stabilizers,3,5.7e-05
1980s,Steve Miller,3,5.7e-05
1980s,Yutaka,3,5.7e-05
1980s,Whodini,3,5.7e-05
1980s,Transvision Vamp,3,5.7e-05
1980s,D-Mob Introducing Cathy Dennis,3,5.7e-05
1980s,M,3,5.7e-05
1980s,Dolly Parton (Duet With Kenny Rogers),3,5.7e-05
1980s,The Plimsouls,3,5.7e-05
1980s,The Marshall Tucker Band,3,5.7e-05
1980s,Michael Johnson,3,5.7e-05
1980s,Howard Hewett,3,5.7e-05
1980s,Robey,3,5.7e-05
1980s,Jeff Lynne,3,5.7e-05
1980s,Big Noise,3,5.7e-05
1980s,Billy Preston,3,5.7e-05
1980s,The Crusaders With Joe Cocker,3,5.7e-05
1980s,Lani Hall,3,5.7e-05
1980s,The Cantina Band (featuring Lou Christie),3,5.7e-05
1980s,Big Ric,3,5.7e-05
1980s,Double Image,3,5.7e-05
1980s,Meat Loaf,3,5.7e-05
1980s,Gerard McMahon,3,5.7e-05
1980s,Vaughan Mason And Crew,3,5.7e-05
1980s,Ana,3,5.7e-05
1980s,Paula Abdul (Duet With The Wild Pair),3,5.7e-05
1980s,Gene Loves Jezebel,3,5.7e-05
1980s,Nile Rodgers,3,5.7e-05
1980s,"Ray Parker,Jr. & Helen Terry",3,5.7e-05
1980s,Cindy Bullens,3,5.7e-05
1980s,Dave Mason,3,5.7e-05
1980s,Nazareth,3,5.7e-05
1980s,Ray Kennedy,3,5.7e-05
1980s,Night,3,5.7e-05
1980s,Rick Bowles,3,5.7e-05
1980s,Rob Jungklas,3,5.7e-05
1980s,Chris Christian (with Amy Holland),3,5.7e-05
1980s,Helen Reddy,3,5.7e-05
1980s,David Pack,3,5.7e-05
1980s,Tight Fit,3,5.7e-05
1980s,Tiggi Clay,3,5.7e-05
1980s,Robin Lane & The Chartbusters,3,5.7e-05
1980s,Timmy Thomas,3,5.7e-05
1980s,Shamus M'Cool,3,5.7e-05
1980s,"Joe ""Bean"" Esposito",2,3.8e-05
1980s,Eric Troyer,2,3.8e-05
1980s,Kings Of The Sun,2,3.8e-05
1980s,Eric Martin,2,3.8e-05
1980s,Karen Kamon,2,3.8e-05
1980s,Wayne Massey,2,3.8e-05
1980s,Suzanne Fellini,2,3.8e-05
1980s,Barry Manilow with Kid Creole & The Coconuts,2,3.8e-05
1980s,Snuff,2,3.8e-05
1980s,Sky (Arista),2,3.8e-05
1980s,3 Man Island,2,3.8e-05
1980s,Minor Detail,2,3.8e-05
1980s,"Hagar, Schon, Aaronson, Shrieve",2,3.8e-05
1980s,The Jags,2,3.8e-05
1980s,Larry Lee,2,3.8e-05
1980s,Larry John McNally,2,3.8e-05
1980s,The Buggles,2,3.8e-05
1980s,Simon F,2,3.8e-05
1980s,Britny Fox,2,3.8e-05
1980s,Engelbert,2,3.8e-05
1980s,Bonnie Raitt,2,3.8e-05
1980s,La Flavour,2,3.8e-05
1980s,Eddie & The Tide,2,3.8e-05
1980s,Tia,2,3.8e-05
1980s,GQ,2,3.8e-05
1980s,Herb Alpert's Tijuana Brass,2,3.8e-05
1980s,Abstrac',2,3.8e-05
1980s,RCR,2,3.8e-05
1980s,Grace Slick,2,3.8e-05
1980s,Robin George,2,3.8e-05
1980s,B.J. Thomas,2,3.8e-05
1980s,Graham Parker,2,3.8e-05
1980s,Grand Master Melle Mel And The Furious Five With Mr Ness & Cowboy,2,3.8e-05
1980s,Nick Jameson,2,3.8e-05
1980s,Cugini,2,3.8e-05
1980s,Siedah Garrett,1,1.9e-05
1980s,Yvonne Elliman,1,1.9e-05
1980s,Kermit (Jim Henson),1,1.9e-05
1980s,Mistress,1,1.9e-05
1980s,Richie Furay,1,1.9e-05
1980s,Colin James Hay,1,1.9e-05
1980s,1927,1,1.9e-05
1990s,Madonna,407,0.007812
1990s,Mariah Carey,386,0.007409
1990s,Boyz II Men,320,0.006142
1990s,TLC,286,0.005489
1990s,Whitney Houston,285,0.00547
1990s,Elton John,279,0.005355
1990s,Celine Dion,265,0.005086
1990s,Janet Jackson,258,0.004952
1990s,Mary J. Blige,255,0.004894
1990s,Gloria Estefan,240,0.004607
1990s,Toni Braxton,236,0.00453
1990s,Michael Bolton,228,0.004376
1990s,En Vogue,221,0.004242
1990s,R. Kelly,218,0.004184
1990s,Shania Twain,210,0.004031
1990s,Aerosmith,207,0.003973
1990s,Jodeci,207,0.003973
1990s,SWV,201,0.003858
1990s,Color Me Badd,200,0.003839
1990s,Ace Of Base,190,0.003647
1990s,Rod Stewart,190,0.003647
1990s,Jon Secada,187,0.003589
1990s,Bryan Adams,184,0.003532
1990s,Brandy,183,0.003512
1990s,LL Cool J,180,0.003455
1990s,Michael Jackson,178,0.003417
1990s,Tevin Campbell,177,0.003397
1990s,Hootie & The Blowfish,177,0.003397
1990s,Phil Collins,172,0.003301
1990s,Richard Marx,171,0.003282
1990s,U2,166,0.003186
1990s,Salt-N-Pepa,163,0.003129
1990s,R.E.M.,162,0.003109
1990s,Monica,162,0.003109
1990s,Sarah McLachlan,160,0.003071
1990s,M.C. Hammer,159,0.003052
1990s,Keith Sweat,159,0.003052
1990s,Vanessa Williams,157,0.003013
1990s,Sheryl Crow,157,0.003013
1990s,Babyface,155,0.002975
1990s,Melissa Etheridge,154,0.002956
1990s,Backstreet Boys,154,0.002956
1990s,Collective Soul,150,0.002879
1990s,LeAnn Rimes,144,0.002764
1990s,Tony Toni Tone,142,0.002726
1990s,Metallica,140,0.002687
1990s,After 7,139,0.002668
1990s,Tim McGraw,139,0.002668
1990s,Spice Girls,138,0.002649
1990s,Savage Garden,138,0.002649
1990s,Amy Grant,135,0.002591
1990s,Roxette,132,0.002534
1990s,Dru Hill,131,0.002514
1990s,Shai,130,0.002495
1990s,Usher,129,0.002476
1990s,Cher,129,0.002476
1990s,Xscape,128,0.002457
1990s,K-Ci & JoJo,128,0.002457
1990s,Wilson Phillips,127,0.002438
1990s,Luther Vandross,126,0.002418
1990s,Lenny Kravitz,126,0.002418
1990s,Jade,125,0.002399
1990s,Real McCoy,124,0.00238
1990s,Blessid Union Of Souls,124,0.00238
1990s,Depeche Mode,123,0.002361
1990s,Bon Jovi,123,0.002361
1990s,Def Leppard,123,0.002361
1990s,CeCe Peniston,123,0.002361
1990s,Naughty By Nature,120,0.002303
1990s,Silk,118,0.002265
1990s,Jewel,117,0.002246
1990s,Seal,117,0.002246
1990s,Billy Joel,116,0.002226
